"Timestamp","Q1. How often do you consume influencer content on social media?","Q2. Which platform do you most frequently use to follow influencers?","Q3. What type of influencers do you mostly follow?","Q4. What lifestyle topics do you usually watch?","Q5. I consider the influencers I follow to be trustworthy.","Q6. Influencers I follow seem authentic rather than scripted.","Q7. I feel a sense of personal connection with influencers I follow.","Q8. I trust influencers' opinions on lifestyle-related topics.","Q9. Influencer content often affects my mood or emotions.","Q10. I feel emotionally motivated by influencer content.","Q11. I relate emotionally to the lifestyles presented by influencers.","Q12. Influencer content has influenced my lifestyle habits (e.g., routines, self-care, fitness).","Q13. I have tried products, services, or routines recommended by influencers.","Q14. Influencer content influences my perception of an “ideal” lifestyle.","Q15. Have influencers influenced your purchasing or adoption decisions?","Q16. Age group","Q17. Gender","Q18. Country or region"
"2026/01/06 11:52:26 AM GMT+1","Several times a week","YouTube","Macro-influencers (100,000–1 million followers)","Fitness & health;Beauty & fashion;Food & nutrition","4","4","4","3","3","2","3","4","3","3","Yes","25–34","Female","Europe"
"2026/01/06 12:13:58 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Wellness & self-care","5","5","2","5","1","4","4","5","5","3","Yes","25–34","Female","Europe"
"2026/01/06 12:18:19 PM GMT+1","Several times a week","Instagram","Macro-influencers (100,000–1 million followers)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care","3","3","3","2","3","2","3","4","4","3","Yes","25–34","Male","Asia"
"2026/01/06 12:29:48 PM GMT+1","Once a week","Instagram","Mega-influencers (more than 1 million followers)","Food & nutrition;Wellness & self-care","3","3","3","4","2","3","3","4","4","3","Yes","35–44","Male","Middle East"
"2026/01/06 12:32:26 PM GMT+1","Several times a week","TikTok","Macro-influencers (100,000–1 million followers)","Beauty & fashion;Wellness & self-care","4","4","3","4","4","4","3","4","4","3","Yes","25–34","Female","Europe"
"2026/01/06 12:32:30 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Wellness & self-care","4","4","5","5","4","5","4","5","4","4","Yes","25–34","Male","Europe"
"2026/01/06 12:50:08 PM GMT+1","Less than once a week","YouTube","No preference (I don’t pay attention to follower count)","Other","3","3","3","3","1","1","1","2","1","1","Not sure","25–34","Male","Asia"
"2026/01/06 12:51:34 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health","3","2","2","3","3","2","3","3","3","2","Not sure","25–34","Female","Asia"
"2026/01/06 12:57:46 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Food & nutrition","2","3","3","3","4","4","4","3","2","3","Not sure","25–34","Female","Asia"
"2026/01/06 1:03:52 PM GMT+1","Several times a week","Instagram","Macro-influencers (100,000–1 million followers)","Fitness & health;Beauty & fashion;Wellness & self-care","4","4","4","3","4","3","3","3","2","3","Yes","25–34","Female","Asia"
"2026/01/06 1:07:49 PM GMT+1","Several times a week","TikTok","No preference (I don’t pay attention to follower count)","Beauty & fashion;Wellness & self-care","4","4","2","4","2","2","2","4","4","2","Yes","25–34","Female","Europe"
"2026/01/06 1:08:54 PM GMT+1","Daily","Instagram","Macro-influencers (100,000–1 million followers)","Fitness & health;Beauty & fashion;Wellness & self-care","5","5","3","2","1","3","2","1","2","2","Not sure","25–34","Male","Middle East"
